API,Well_Number,Symbol_Desc,Symbol,Reliab,Location_Source,Lat27,Long27,Lat83,Long83,Wellbore_Status,Last_Permit_Issued,Last_Permit_Operator_Number,Last_Permit_Operator,Last_Permit_Lease_Name,Total_Depth,Surface_Location,Abstract,Survey,Block,Section,Distance1,Direction1,Distance2,Direction2,Proration_Schedule,District,LeaseID,Operator_Number,Operator,Lease_Name,Field,Well_No,Well_Type,On_Schedule,plugDate,plugDepth,plugOperator,plugLeasename
43931518,1H,Gas Well,5,55,Coordinates - Operator reported,32.75929952,-97.31439081,32.75942968,-97.31468471,OPEN,613955,197624,DALE OPERATING COMPANY,AHF,7075,Land,307,CROWLEY B T,,,1136,N,1161,W,GAS,09,230540,842986,TEP BARNETT USA LLC,"FOURTH STREET ""A"" GAS UNIT",NEWARK EAST (BARNETT SHALE),   1 H,PRODUCING,YES,,,,
43931518,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.76189719,-97.31338338,32.76202732,-97.3136773,OPEN,613955,197624,DALE OPERATING COMPANY,AHF,7075,Land,307,CROWLEY B T,,,1136,N,1161,W,GAS,09,230540,842986,TEP BARNETT USA LLC,"FOURTH STREET ""A"" GAS UNIT",NEWARK EAST (BARNETT SHALE),   1 H,PRODUCING,YES,,,,
43931519,3H,Permitted Location,2,55,Coordinates - Operator reported,32.75987774,-97.31485838,32.76000787,-97.31515233,LOCATION,613956,197624,DALE OPERATING COMPANY,AHF,0,Land,307,CROWLEY B T,,,1195,N,1181,W,,,,,,,,,,,,,,
43931519,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.7617333,-97.31331949,32.76186343,-97.31361339,LOCATION,613956,197624,DALE OPERATING COMPANY,AHF,0,Land,307,CROWLEY B T,,,1195,N,1181,W,,,,,,,,,,,,,,
43931521,2H,Permitted Location,2,55,Coordinates - Operator reported,32.76259441,-97.31588893,32.76272449,-97.31618287,LOCATION,614025,197624,DALE OPERATING COMPANY,AHF,0,Land,307,CROWLEY B T,,,1165,N,1181,W,,,,,,,,,,,,,,
43931521,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.76181663,-97.31331671,32.76194673,-97.31361059,LOCATION,614025,197624,DALE OPERATING COMPANY,AHF,0,Land,307,CROWLEY B T,,,1165,N,1181,W,,,,,,,,,,,,,,
43931546,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.75090465,-97.29405544,32.75103523,-97.29434867,OPEN,615432,197624,DALE OPERATING COMPANY,TRWD,7140,Land,1659,WALLER B E,,,2037,S,22,E,GAS,09,223989,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931546,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.75615945,-97.29173887,32.7562898,-97.29203213,OPEN,615432,197624,DALE OPERATING COMPANY,TRWD,7140,Land,1659,WALLER B E,,,2037,S,22,E,GAS,09,223989,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931547,2H,Gas Well,5,40,Operator reported location - Distances and Plat,32.75150129,-97.29614594,32.7516318,-97.29643923,OPEN,615434,197624,DALE OPERATING COMPANY,TRWD,7125,Land,431,DAGGETT E M,,,256,NE (RIVER),132,W,GAS,09,240605,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   2H ,PRODUCING,YES,,,,
43931547,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.75632796,-97.29091004,32.7564584,-97.2912032,OPEN,615434,197624,DALE OPERATING COMPANY,TRWD,7125,Land,431,DAGGETT E M,,,256,NE (RIVER),132,W,GAS,09,240605,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   2H ,PRODUCING,YES,,,,
43931608,1,Gas Well,5,40,Operator reported location - Distances and Plat,32.75631401,-97.30047704,32.75644435,-97.30077049,OPEN,618346,268602,FINLEY RESOURCES INC.,CRAIN,7317,Land,1659,WALLER B E,,,2408,EAST,3529,NORTH,GAS,09,238401,268602,FINLEY RESOURCES INC.,CRAIN,NEWARK EAST (BARNETT SHALE),1,PRODUCING,YES,,,,
43931608,,Directional Surface Location,87,,Operator reported location - Distances and Plat,32.7554225,-97.29950395,32.75555288,-97.29979745,OPEN,618346,268602,FINLEY RESOURCES INC.,CRAIN,7317,Land,1659,WALLER B E,,,2408,EAST,3529,NORTH,GAS,09,238401,268602,FINLEY RESOURCES INC.,CRAIN,NEWARK EAST (BARNETT SHALE),1,PRODUCING,YES,,,,
43931624,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.76032073,-97.29739468,32.76045096,-97.29768811,OPEN,619462,268602,FINLEY RESOURCES INC.,RIVERSIDE,7096,Land,304,CROSS R,,,95,W,2570,N'LY N,GAS,09,237509,268602,FINLEY RESOURCES INC.,RIVERSIDE,NEWARK EAST (BARNETT SHALE),   1 H,PRODUCING,YES,,,,
43931624,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.75808358,-97.29102115,32.75821396,-97.29131441,OPEN,619462,268602,FINLEY RESOURCES INC.,RIVERSIDE,7096,Land,304,CROSS R,,,95,W,2570,N'LY N,GAS,09,237509,268602,FINLEY RESOURCES INC.,RIVERSIDE,NEWARK EAST (BARNETT SHALE),   1 H,PRODUCING,YES,,,,
43931739,1,Gas Well,5,40,Operator reported location - Distances and Plat,32.75862035,-97.28879961,32.75875076,-97.28909275,OPEN,624530,287290,FROST BROTHERS RESOURCES LLLP,FROST,7355,Land,,,,,,,,,GAS,09,237831,287290,FROST BROTHERS RESOURCES LLLP,FROST,NEWARK EAST (BARNETT SHALE),1,PRODUCING,YES,,,,
43931774,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.73962691,-97.29498009,32.73975781,-97.29527337,OPEN,626703,197624,DALE OPERATING COMPANY,HICKMAN UNIT,7044,Land,1430,SANDERSON J,,,1100,N,1572,E,GAS,09,235019,842986,TEP BARNETT USA LLC,HICKMAN,NEWARK EAST (BARNETT SHALE),   1 H,PRODUCING,YES,,,,
43931774,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.74757222,-97.29680519,32.74770282,-97.29709854,OPEN,626703,197624,DALE OPERATING COMPANY,HICKMAN UNIT,7044,Land,1430,SANDERSON J,,,1100,N,1572,E,GAS,09,235019,842986,TEP BARNETT USA LLC,HICKMAN,NEWARK EAST (BARNETT SHALE),   1 H,PRODUCING,YES,,,,
43932102,3H,Gas Well,5,40,Operator reported location - Distances and Plat,32.75180928,-97.29885435,32.75193977,-97.29914772,OPEN,636251,147715,CHESAPEAKE OPERATING INC.,TRWD,7079,Land,431,E M DAGGETT,,,146,W (OFFLEASE),256,NE (OFFLEASE),GAS,09,238522,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932102,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.75662239,-97.2911902,32.7567528,-97.29148341,OPEN,636251,147715,CHESAPEAKE OPERATING INC.,TRWD,7079,Land,431,E M DAGGETT,,,146,W (OFFLEASE),256,NE (OFFLEASE),GAS,09,238522,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932119,4H,Gas Well,5,40,Operator reported location - Distances and Plat,32.75202381,-97.29264574,32.75215431,-97.29293893,OPEN,636355,147715,CHESAPEAKE OPERATING INC.,TRWD,7136,Land,431,DAGGETT E M,,,160,W,257,N,GAS,09,238909,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   4H ,PRODUCING,YES,,,,
43932119,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.75630196,-97.2908174,32.75643241,-97.2911106,OPEN,636355,147715,CHESAPEAKE OPERATING INC.,TRWD,7136,Land,431,DAGGETT E M,,,160,W,257,N,GAS,09,238909,842986,TEP BARNETT USA LLC,TRWD,NEWARK EAST (BARNETT SHALE),   4H ,PRODUCING,YES,,,,
43932177,3H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78287829,-97.32750063,32.78300782,-97.327795,OPEN,637777,147715,CHESAPEAKE OPERATING INC.,HUDSON,7095,Land,945,LITTLE W H,,,159,W,1570,N,GAS,09,236487,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   3 H,PRODUCING,YES,,,,
43932177,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.7764131,-97.32472546,32.77654279,-97.32501979,OPEN,637777,147715,CHESAPEAKE OPERATING INC.,HUDSON,7095,Land,945,LITTLE W H,,,159,W,1570,N,GAS,09,236487,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   3 H,PRODUCING,YES,,,,
43932199,2H,Canceled / Abandoned Location,9,40,Operator reported location - Distances and Plat,32.78262772,-97.3300874,32.78275721,-97.33038188,LOCATION,638165,147715,CHESAPEAKE OPERATING INC.,HUDSON,0,Land,945,LITTLE W H,,,151,W,1557,N,,,,,,,,,,,,,,
43932199,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.77643087,-97.32481496,32.77656059,-97.3251093,LOCATION,638165,147715,CHESAPEAKE OPERATING INC.,HUDSON,0,Land,945,LITTLE W H,,,151,W,1557,N,,,,,,,,,,,,,,
43932237,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.7664249,-97.30530016,32.76655496,-97.30559388,OPEN,638643,147715,CHESAPEAKE OPERATING INC.,PVI UNIT,7145,Land,1659,WALLER B E,,,577,NORTH,1954,EAST,GAS,09,253315,842986,TEP BARNETT USA LLC,PVI UNIT,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932237,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.7635465,-97.29798979,32.76367667,-97.29828325,OPEN,638643,147715,CHESAPEAKE OPERATING INC.,PVI UNIT,7145,Land,1659,WALLER B E,,,577,NORTH,1954,EAST,GAS,09,253315,842986,TEP BARNETT USA LLC,PVI UNIT,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932271,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.769196,-97.36013402,32.76932567,-97.36042931,OPEN,639323,147715,CHESAPEAKE OPERATING INC.,GOLF,6979,Land,115,BAUGH J,,,196,W,999,S,GAS,09,250362,842986,TEP BARNETT USA LLC,GOLF,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932319,2H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78254998,-97.32977035,32.78267951,-97.33006487,OPEN,640416,147715,CHESAPEAKE OPERATING INC.,HUDSON,7100,Land,945,LITTLE W H,,,145,W,1572,N,GAS,09,240162,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   2H ,PRODUCING,YES,,,,
43932319,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.77639138,-97.32483434,32.77652109,-97.3251286,OPEN,640416,147715,CHESAPEAKE OPERATING INC.,HUDSON,7100,Land,945,LITTLE W H,,,145,W,1572,N,GAS,09,240162,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   2H ,PRODUCING,YES,,,,
43932431,3H,Gas Well,5,40,Operator reported location - Distances and Plat,32.73995092,-97.29232768,32.74008181,-97.29262089,OPEN,642381,147715,CHESAPEAKE OPERATING INC.,HICKMAN,7044,Land,1430,SANDERSON J,,,1568,E,1134,N,GAS,09,233605,842986,TEP BARNETT USA LLC,HICKMAN,NEWARK EAST (BARNETT SHALE),   3 H,PRODUCING,YES,,,,
43932431,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.74788223,-97.29632898,32.74801281,-97.29662233,OPEN,642381,147715,CHESAPEAKE OPERATING INC.,HICKMAN,7044,Land,1430,SANDERSON J,,,1568,E,1134,N,GAS,09,233605,842986,TEP BARNETT USA LLC,HICKMAN,NEWARK EAST (BARNETT SHALE),   3 H,PRODUCING,YES,,,,
43932540,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.74514191,-97.32563186,32.74527242,-97.3259261,OPEN,643641,147715,CHESAPEAKE OPERATING INC.,T & P,7068,Land,844,JENNINGS S G,,,1048,E,1975,N,GAS,09,244029,842986,TEP BARNETT USA LLC,WEST GATE,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932540,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.74542916,-97.33211813,32.74555967,-97.33241249,OPEN,643641,147715,CHESAPEAKE OPERATING INC.,T & P,7068,Land,844,JENNINGS S G,,,1048,E,1975,N,GAS,09,244029,842986,TEP BARNETT USA LLC,WEST GATE,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932576,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.7747333,-97.31616747,32.77486308,-97.31646154,OPEN,644201,147715,CHESAPEAKE OPERATING INC.,TINDALL,7111,Land,307,CROWLEY B F,,,1155,W,1166,N,GAS,09,248358,842986,TEP BARNETT USA LLC,TINDALL,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932576,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.76187665,-97.31313385,32.76200673,-97.31342769,OPEN,644201,147715,CHESAPEAKE OPERATING INC.,TINDALL,7111,Land,307,CROWLEY B F,,,1155,W,1166,N,GAS,09,248358,842986,TEP BARNETT USA LLC,TINDALL,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932820,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.75848379,-97.34401484,32.75861382,-97.34430959,OPEN,648865,147715,CHESAPEAKE OPERATING INC.,HENDERSON BAZAAR,6965,Land,313,CRAWLEY R,,,702,N,804,E,GAS,09,248600,842986,TEP BARNETT USA LLC,HENDERSON BAZAAR,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932820,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.76454861,-97.3457615,32.76467847,-97.34605637,OPEN,648865,147715,CHESAPEAKE OPERATING INC.,HENDERSON BAZAAR,6965,Land,313,CRAWLEY R,,,702,N,804,E,GAS,09,248600,842986,TEP BARNETT USA LLC,HENDERSON BAZAAR,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932828,4H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78235084,-97.32558994,32.78248034,-97.32588424,OPEN,648978,147715,CHESAPEAKE OPERATING INC.,HUDSON,7128,Land,945,LITTLE W H,,,274,W,1300,N,GAS,09,240465,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   4H ,PRODUCING,YES,,,,
43932828,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.77642074,-97.32441199,32.77655039,-97.32470628,OPEN,648978,147715,CHESAPEAKE OPERATING INC.,HUDSON,7128,Land,945,LITTLE W H,,,274,W,1300,N,GAS,09,240465,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   4H ,PRODUCING,YES,,,,
43932829,3H,Gas Well,5,40,Operator reported location - Distances and Plat,32.77557696,-97.30851581,32.7757068,-97.30880962,OPEN,649018,147715,CHESAPEAKE OPERATING INC.,SPARTO,7170,Land,945,LITTLE W H,,,260,W,1297,N,GAS,09,245256,842986,TEP BARNETT USA LLC,SPARTO,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932829,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.77642964,-97.32445757,32.77655929,-97.32475189,OPEN,649018,147715,CHESAPEAKE OPERATING INC.,SPARTO,7170,Land,945,LITTLE W H,,,260,W,1297,N,GAS,09,245256,842986,TEP BARNETT USA LLC,SPARTO,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932830,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.77782939,-97.31204437,32.77795912,-97.31233833,OPEN,649016,147715,CHESAPEAKE OPERATING INC.,SPARTO,7142,Land,945,LITTLE W H,,,245,W,1295,N,GAS,09,244915,842986,TEP BARNETT USA LLC,SPARTO,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932830,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.77640464,-97.32460184,32.77653429,-97.32489609,OPEN,649016,147715,CHESAPEAKE OPERATING INC.,SPARTO,7142,Land,945,LITTLE W H,,,245,W,1295,N,GAS,09,244915,842986,TEP BARNETT USA LLC,SPARTO,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43932845,7H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78343833,-97.33002783,32.78356779,-97.33032228,OPEN,649500,147715,CHESAPEAKE OPERATING INC.,HUDSON,7039,Land,954,LITTLE E,,,1872,E,2473,N,GAS,09,247622,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   7H ,TEMP ABANDONED,YES,,,,
43932845,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.78834121,-97.33158257,32.78847056,-97.33187714,OPEN,649500,147715,CHESAPEAKE OPERATING INC.,HUDSON,7039,Land,954,LITTLE E,,,1872,E,2473,N,GAS,09,247622,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   7H ,TEMP ABANDONED,YES,,,,
43932846,5H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78165698,-97.33246357,32.78178652,-97.33275814,OPEN,649501,147715,CHESAPEAKE OPERATING INC.,HUDSON,7074,Land,954,LITTLE E,,,1887,E,2470,N,GAS,09,251682,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   5H ,PRODUCING,YES,,,,
43932846,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.78834952,-97.33142811,32.78847886,-97.33172264,OPEN,649501,147715,CHESAPEAKE OPERATING INC.,HUDSON,7074,Land,954,LITTLE E,,,1887,E,2470,N,GAS,09,251682,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   5H ,PRODUCING,YES,,,,
43932855,1H,Permitted Location,2,40,Operator reported location - Distances and Plat,32.76061014,-97.31548834,32.76074024,-97.31578225,LOCATION,649720,147715,CHESAPEAKE OPERATING INC.,FOURTH STREET MODEL,0,Land,307,CROWLEY B F,,,1075,W,614,N,,,,,,,,,,,,,,
43932855,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.76339153,-97.31339117,32.76352159,-97.3136851,LOCATION,649720,147715,CHESAPEAKE OPERATING INC.,FOURTH STREET MODEL,0,Land,307,CROWLEY B F,,,1075,W,614,N,,,,,,,,,,,,,,
43932871,3H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78269756,-97.32545833,32.78282713,-97.32575264,OPEN,650032,147715,CHESAPEAKE OPERATING INC.,NW MERCADO,7052,Land,954,LITTLE E,,,2382,N,1857,E,GAS,09,245684,842986,TEP BARNETT USA LLC,NW MERCADO,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932871,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.78861151,-97.33152364,32.78874085,-97.33181814,OPEN,650032,147715,CHESAPEAKE OPERATING INC.,NW MERCADO,7052,Land,954,LITTLE E,,,2382,N,1857,E,GAS,09,245684,842986,TEP BARNETT USA LLC,NW MERCADO,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932923,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.78658044,-97.32140965,32.78670985,-97.32170394,OPEN,651540,147715,CHESAPEAKE OPERATING INC.,MERCADO,7043,Land,1417,SMITH S K,,,1238,W,2411,S,GAS,09,252331,842986,TEP BARNETT USA LLC,MT. OLIVET,NEWARK EAST (BARNETT SHALE),   2H ,PRODUCING,YES,,,,
43932935,6H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78324998,-97.30925838,32.7833796,-97.30955227,OPEN,651840,147715,CHESAPEAKE OPERATING INC.,MERCADO,7136,Land,1417,SMITH S K,,,1222,W,2386,S,GAS,09,255623,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   6H ,PRODUCING,YES,,,,
43932935,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.78651243,-97.32146035,32.78664186,-97.32175454,OPEN,651840,147715,CHESAPEAKE OPERATING INC.,MERCADO,7136,Land,1417,SMITH S K,,,1222,W,2386,S,GAS,09,255623,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   6H ,PRODUCING,YES,,,,
43932994,3H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78463549,-97.30930714,32.78476506,-97.30960098,OPEN,653220,147715,CHESAPEAKE OPERATING INC.,MERCADO,7139,Land,1417,SMITH S K,,,1203,W,2451,S,GAS,09,251059,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932994,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.78669206,-97.32152581,32.78682155,-97.32182004,OPEN,653220,147715,CHESAPEAKE OPERATING INC.,MERCADO,7139,Land,1417,SMITH S K,,,1203,W,2451,S,GAS,09,251059,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43932995,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.78653962,-97.3212461,32.78666906,-97.32154034,OPEN,653221,147715,CHESAPEAKE OPERATING INC.,MERCADO,7094,Land,1417,SMITH S K,,,1288,W,2397,S,GAS,09,256022,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   5H ,PRODUCING,YES,,,,
43932996,10H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78182786,-97.3095186,32.78195754,-97.30981247,OPEN,653213,147715,CHESAPEAKE OPERATING INC.,MERCADO,7145,Land,1417,SMITH S K,,,1187,W,2425,S,GAS,09,250941,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),  10H ,PRODUCING,YES,,,,
43932996,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.7866213,-97.32157646,32.78675075,-97.32187075,OPEN,653213,147715,CHESAPEAKE OPERATING INC.,MERCADO,7145,Land,1417,SMITH S K,,,1187,W,2425,S,GAS,09,250941,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),  10H ,PRODUCING,YES,,,,
43933005,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.78672199,-97.32150364,32.78685145,-97.32179784,OPEN,653387,147715,CHESAPEAKE OPERATING INC.,MERCADO,7060,Land,1417,SMITH S K,,,2462,S,1210,W,GAS,09,254299,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   2H ,PRODUCING,YES,,,,
43933013,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.76912707,-97.36018942,32.76925677,-97.36048471,OPEN,653596,147715,CHESAPEAKE OPERATING INC.,GOLF,7034,Land,115,BAUGH J,,,179,W,974,S,GAS,09,249951,842986,TEP BARNETT USA LLC,GOLF,NEWARK EAST (BARNETT SHALE),   2H ,PRODUCING,YES,,,,
43933017,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.76909399,-97.36021549,32.76922367,-97.36051081,OPEN,653597,147715,CHESAPEAKE OPERATING INC.,GOLF,6952,Land,115,BAUGH J,,,171,W,962,S,GAS,09,249954,842986,TEP BARNETT USA LLC,GOLF,NEWARK EAST (BARNETT SHALE),   3H ,PRODUCING,YES,,,,
43933087,4H,Gas Well,5,40,Operator reported location - Distances and Plat,32.73654934,-97.29528862,32.73668031,-97.29558187,OPEN,654572,147715,CHESAPEAKE OPERATING INC.,HICKMAN,6972,Land,1430,SANDERSON J,,,1133,N,1552,E,GAS,09,249100,842986,TEP BARNETT USA LLC,HICKMAN,NEWARK EAST (BARNETT SHALE),   4H ,PRODUCING,YES,,,,
